id,name,user_type_id/id,code,reconcile
l10n_generic_coa.1_conf_xfa,Fixed Asset Account,account.data_account_type_fixed_assets,100000,
l10n_generic_coa.1_conf_stk,Current Assets,account.data_account_type_current_assets,101000,
l10n_generic_coa.1_conf_cas,Stock Valuation Account,account.data_account_type_current_assets,101110,
l10n_generic_coa.1_conf_cas_interim1,Stock Interim Account (Received),account.data_account_type_current_assets,101120,
l10n_generic_coa.1_conf_cas_interim2,Stock Interim Account (Delivered),account.data_account_type_current_assets,101130,
l10n_generic_coa.1_conf_a_recv,Account Receivable,account.data_account_type_receivable,101200,True
l10n_generic_coa.1_conf_ova,Tax Paid,account.data_account_type_current_assets,101300,
__export__.account_account_28,Bank,account.data_account_type_liquidity,101401,
__export__.account_account_27,Cash,account.data_account_type_liquidity,101501,
l10n_generic_coa.1_conf_o_income,Opening Income Account,account.data_account_type_other_income,101600,
l10n_generic_coa.1_transfer_account_id,Liquidity Transfers,account.data_account_type_current_assets,101700,
l10n_generic_coa.1_conf_ncas,Non-current assets,account.data_account_type_non_current_assets,102000,
l10n_generic_coa.1_conf_prepayments,Prepayments,account.data_account_type_prepayments,103000,
l10n_generic_coa.1_current_liabilities,Current Liabilities,account.data_account_type_current_liabilities,111000,
l10n_generic_coa.1_conf_a_pay,Account Payable,account.data_account_type_payable,111100,True
l10n_generic_coa.1_conf_iva,Tax Received,account.data_account_type_current_liabilities,111200,
l10n_generic_coa.1_conf_a_reserve_and_surplus,Reserve and Profit/Loss Account,account.data_account_type_current_liabilities,111300,
l10n_generic_coa.1_cas,Non-current Liabilities,account.data_account_type_non_current_liabilities,112000,
l10n_generic_coa.1_conf_a_sale,Product Sales,account.data_account_type_revenue,200000,
l10n_generic_coa.1_exchange_fx_income,Foreign Exchange Gain,account.data_account_type_revenue,201000,
l10n_generic_coa.1_conf_cog,Cost of Revenue,account.data_account_type_direct_costs,210000,
l10n_generic_coa.1_exchange_fx_expense,Foreign Exchange Loss,account.data_account_type_expenses,211000,
l10n_generic_coa.1_a_salary_expense,Salary Expenses,account.data_account_type_expenses,212100,
l10n_generic_coa.1_a_expense_invest,Purchase of Equipments,account.data_account_type_expenses,212200,
l10n_generic_coa.1_a_expense_finance,Bank Fees,account.data_account_type_expenses,212300,
l10n_generic_coa.1_conf_a_expense,Expenses,account.data_account_type_expenses,220000,
l10n_generic_coa.1_a_capital,Capital,account.data_account_type_equity,300100,
l10n_generic_coa.1_a_dividends,Dividends,account.data_account_type_equity,300200,
__export__.account_account_29,Undistributed Profits/Losses,account.data_unaffected_earnings,999999,
