id,bom_line_ids/id,bom_line_ids/product_id/id,bom_line_ids/product_qty,bom_line_ids/product_uom_id/id,product_tmpl_id/id,product_uom_id/id,product_qty
init.fded4b3a-9674-4cdb-9ba2-a5ec922b61f7,init.2a66d37b-bbf2-4eaa-9e0c-86ca464d6b26,init.4392860e-a2bc-4e00-87af-8003f5fcd47e,3,init.4801928b-f31a-4341-bdf2-c982ecb649f0,init.1a3d9c2d-7067-4d68-8f5c-70c4afea89d1_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,10
init.3bb32ae1-b576-4b4e-a932-d9871bf2fc5f,init.1dbfb7f5-a3e7-4f53-b5c5-66d0e46cf6aa,init.6452d612-89e5-44ea-a88a-2acfedcc7105,3,init.4801928b-f31a-4341-bdf2-c982ecb649f0,init.a43bee20-418c-4c5a-af26-879645670104_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,10
init.bb8c59db-bca5-479c-8756-a4015d490f38,init.3d788b58-a207-4854-95e6-eac5b55cc03c,init.5658d3e8-6b24-4a11-af16-e1b249081209,3,init.4801928b-f31a-4341-bdf2-c982ecb649f0,init.4881b787-630a-46e1-ad43-ddfc2b810da7_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,10
init.13b600b8-0b6b-4ebd-b2ef-3c9c1946eb98,init.e0e63d45-0fd0-4fd6-b586-618d92036f07,init.d845c6ae-e5b6-41af-85c2-a8762534f26b,1,init.b7c152ea-3412-40d3-8973-724d9e9ef77b,init.9d3a279a-6ac4-4185-b5d1-ccd640e0e384_product_template,init.e047c792-e62d-4402-8cad-756a02d140cd,500
init.ee379a31-999a-4640-8a9f-747489b069b0,init.0b881f5c-4acd-403d-af6c-76af6af97ba0,init.23039903-1f8a-4629-b881-f33812d1a39d,3,init.4801928b-f31a-4341-bdf2-c982ecb649f0,init.977c707e-5e5f-4fd2-ace2-a94ca337596d_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,10
init.5be6a565-b375-40cf-bfb4-9849c7ef7be0,init.d0531c5e-cf70-4fc0-b578-248327b25c88,init.46e31c72-5cba-4353-94c1-9e6d76180a47,1,init.4801928b-f31a-4341-bdf2-c982ecb649f0,init.bc1a0f9e-bf4a-458e-81e3-d47f6b84a4a5_product_template,init.c509eecb-1566-4cd0-8a5e-524c95be94ec,5
init.c19424b0-b4ef-40f4-ace9-5e23a2e038e7,init.2edf41d2-e551-4c1d-92d7-20106a1bdb72,init.4d954ad9-744f-41bb-bca6-223795b5965c,2,init.80671710-747a-453e-adf3-cad0466228e0,init.df721c53-7c8a-460b-ae00-a4d6d9181e01_product_template,init.c509eecb-1566-4cd0-8a5e-524c95be94ec,5
init.fdc9d39a-60ce-42b7-8a44-c3db7c1efd59,init.665d3913-eeec-4bd0-af7a-1dec6a29320e,init.f4125e24-7e42-416b-870e-6e47936822ec,3,init.4801928b-f31a-4341-bdf2-c982ecb649f0,init.0e25fe0f-0797-4720-8d70-fe657432b2b2_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,10
init.7233874c-74d4-4db3-afc7-4897b75225a4,init.dac35d46-31d4-40e9-8f75-e59c2e18def0,init.60391a86-ef3c-4879-ad43-be33f6e0725c,3,init.7af90e2b-eb9f-4ddd-b4f0-2179f8431abc,init.9779f643-b66c-4611-87ab-69fffb29f4a2_product_template,init.f4ef97de-7f88-48aa-bb23-9d7dec44cc53,10
init.f873841e-d521-4e07-a9c6-642da98eb615,init.8b38e187-fb85-400d-a640-0a54b6ba78cd,init.024af7dd-1896-4214-937a-31623f5afd73,1,init.d5c0ef0b-98d9-412f-967e-e1150db9c796,init.f3417290-fb56-4741-a079-e19b56c015d9_product_template,init.50d348c0-9290-4339-ad55-9a752ad65b1e,3
init.09eebe28-a892-40da-9ce5-232000bdcdf3,init.21bd38c8-7e89-4bd2-acd2-5010fd672d33,init.3d8876c7-4098-40cf-9799-cd5946b5aa6d,3,init.916022db-1463-4a44-8871-8823233bec10,init.c703930f-700a-4881-89e2-c1206e8053fe_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,50
init.710dd7df-a726-4af2-856a-78bf17ac9d94,init.ca67d55d-6203-4aea-9584-0ac2eaca1495,init.51e450c9-5cbf-41f9-bca4-a1ded4a03b61,3,init.916022db-1463-4a44-8871-8823233bec10,init.e2805e35-b1c6-4430-8626-7a21d8525958_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,50
init.7f4c30d3-b721-4f58-9909-9cde8e88e76b,init.1c76f012-3091-4c98-98e3-2cc357dae07d,init.0e42907e-674f-488f-bbf8-678acbab1e08,1,init.4801928b-f31a-4341-bdf2-c982ecb649f0,init.1da9b2dc-d74e-4ce5-bdba-c31a75409b12_product_template,init.c509eecb-1566-4cd0-8a5e-524c95be94ec,5
init.a3803243-31d7-44fa-8ee1-dbc6acfa02f9,init.afa5d5b6-1115-4866-89e0-67a9dc2b3c5f,init.40e26db0-3fcf-444b-bee8-cf476097f3e6,1,init.d6182285-4b4a-4545-a8b1-a6bb12e3140e,init.c9d9540c-80e0-49ee-8819-44811ecbb23e_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,2
init.9e82a1bd-b60f-485a-ad49-cd157d8d1890,init.e9f37ec4-78e1-4da7-bad9-fe98465b8574,init.cf8ecb58-dc4c-41ca-bde3-4141c3556691,1,init.4801928b-f31a-4341-bdf2-c982ecb649f0,init.4b6a0eea-3793-4d51-85f3-37c3e3fa3264_product_template,init.c509eecb-1566-4cd0-8a5e-524c95be94ec,5
init.46c1edc2-8c63-4783-b90d-580170db0bc7,init.0c63bf76-ee65-4ef7-922e-60f71c20606e,init.113e972c-3493-44bc-a135-26a40675ad82,7,init.4801928b-f31a-4341-bdf2-c982ecb649f0,init.d23311cd-8ba0-440e-8aeb-5edf028a654f_product_template,init.5e65bae4-3356-4fb1-b3b8-c04b7bd40dbc,25
init.a1778672-831d-4314-9469-4a5e7538a7b7,init.5891856b-0069-4fe4-b7f9-1d31b8d4e393,init.79b84ab4-1eca-4332-a3c8-7e8022dbd135,3,init.4801928b-f31a-4341-bdf2-c982ecb649f0,init.84796f31-9a33-46d9-a9d4-630c97a25fac_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,10
init.c731b80f-7a3c-49af-b87a-8ae7d7cd7b4f,init.f6b951cd-72da-4a57-8ff9-7ce293dc8c1a,init.91cefc47-721a-429f-a6cf-2aa43f1f3db5,1,init.4801928b-f31a-4341-bdf2-c982ecb649f0,init.0c6a3a7f-1541-4126-9c8e-b34cf981202e_product_template,init.c509eecb-1566-4cd0-8a5e-524c95be94ec,5
init.cb648c73-3212-4b85-bfe9-6d234e68e940,init.c8643a37-e497-4d6a-94c1-b815ee650b8b,init.f3cfae5c-86c8-4454-a417-c2742a0aa976,1,init.b7c152ea-3412-40d3-8973-724d9e9ef77b,init.cffce174-7730-4518-ab8c-ee3cf47c7951_product_template,init.50d348c0-9290-4339-ad55-9a752ad65b1e,100
init.a1206578-4131-44ba-9578-db2226ea572c,init.28fe3101-0b71-4460-a14a-708f71a22610,init.02c65370-5c9f-43fc-8a16-d10cbbcb2c28,1,init.4801928b-f31a-4341-bdf2-c982ecb649f0,init.7f069580-c3e3-4f38-8ffb-9886ef72b0b9_product_template,init.c509eecb-1566-4cd0-8a5e-524c95be94ec,5
init.befc2d8d-c41d-4431-a697-cdb80e9711d5,init.2519504b-47ac-47e1-9f7d-d4fc2527d351,init.ce512c8d-973c-4fb4-8617-d484f2df0881,3,init.4801928b-f31a-4341-bdf2-c982ecb649f0,init.21d34038-3aae-4f35-9898-5e351c9299f2_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,10
init.aee1b68e-edb7-41b2-8582-ed6304cd85ee,init.ef09cf31-4b04-4efd-827f-567fe695346b,init.7fbb5111-4c20-452d-8d41-b8179144dc70,1,init.4801928b-f31a-4341-bdf2-c982ecb649f0,init.fb7ddb9d-031b-4b9c-ab7e-b3946c4d9be5_product_template,init.c509eecb-1566-4cd0-8a5e-524c95be94ec,5
