id,name,discount_policy,sequence,currency_id/id,item_ids/applied_on,item_ids/base,item_ids/compute_price,item_ids/min_quantity,item_ids/fixed_price,item_ids/product_tmpl_id/id
init.product_pricelist_patients_urgences,Patients Urgences,Discount included in the price,4,base.HTG,Product,Public Price,Fix Price,1,20000,ORL001
,,,,,Product,Public Price,Fix Price,1,10000,ORL002
,,,,,Product,Public Price,Fix Price,1,10000,ORL003
,,,,,Product,Public Price,Fix Price,1,20000,ORL004
,,,,,Product,Public Price,Fix Price,1,20000,ORL005
,,,,,Product,Public Price,Fix Price,1,15000,ORL006
,,,,,Product,Public Price,Fix Price,1,23000,ORL007
,,,,,Product,Public Price,Fix Price,1,20000,ORL008
,,,,,Product,Public Price,Fix Price,1,20000,ORL009
,,,,,Product,Public Price,Fix Price,1,23000,ORL010
,,,,,Product,Public Price,Fix Price,1,20000,ORL011
,,,,,Product,Public Price,Fix Price,1,23000,ORL012
,,,,,Product,Public Price,Fix Price,1,20000,ORL013
,,,,,Product,Public Price,Fix Price,1,20000,ORL014
,,,,,Product,Public Price,Fix Price,1,20000,ORL015
,,,,,Product,Public Price,Fix Price,1,30000,ORL016
,,,,,Product,Public Price,Fix Price,1,25000,ORL017
,,,,,Product,Public Price,Fix Price,1,15000,ORL018
,,,,,Product,Public Price,Fix Price,1,25000,ORL019
,,,,,Product,Public Price,Fix Price,1,30000,ORL020
,,,,,Product,Public Price,Fix Price,1,20000,ORL021
,,,,,Product,Public Price,Fix Price,1,20000,ORL022
,,,,,Product,Public Price,Fix Price,1,15000,ORL023
,,,,,Product,Public Price,Fix Price,1,20000,ORL024
,,,,,Product,Public Price,Fix Price,1,15000,ORL025
,,,,,Product,Public Price,Fix Price,1,15000,ORL026
,,,,,Product,Public Price,Fix Price,1,20000,ORL027
,,,,,Product,Public Price,Fix Price,1,20000,ORL028
,,,,,Product,Public Price,Fix Price,1,20000,ORL029
,,,,,Product,Public Price,Fix Price,1,20000,CHG1001
,,,,,Product,Public Price,Fix Price,1,20000,CHG1002
,,,,,Product,Public Price,Fix Price,1,20000,CHG1003
,,,,,Product,Public Price,Fix Price,1,15000,CHG1004
,,,,,Product,Public Price,Fix Price,1,25000,CHG1005
,,,,,Product,Public Price,Fix Price,1,15000,CHG1006
,,,,,Product,Public Price,Fix Price,1,30000,CHG1007
,,,,,Product,Public Price,Fix Price,1,15000,CHG1008
,,,,,Product,Public Price,Fix Price,1,20000,CHG1009
,,,,,Product,Public Price,Fix Price,1,40000,CHG1010
,,,,,Product,Public Price,Fix Price,1,15000,CHG1011
,,,,,Product,Public Price,Fix Price,1,30000,CHG1012
,,,,,Product,Public Price,Fix Price,1,30000,CHG1013
,,,,,Product,Public Price,Fix Price,1,15000,CHG1014
,,,,,Product,Public Price,Fix Price,1,55000,CHG1015
,,,,,Product,Public Price,Fix Price,1,40000,CHG1016
,,,,,Product,Public Price,Fix Price,1,15000,CHG1017
,,,,,Product,Public Price,Fix Price,1,35000,CHG1018
,,,,,Product,Public Price,Fix Price,1,20000,CHG1019
,,,,,Product,Public Price,Fix Price,1,25000,CHG1020
,,,,,Product,Public Price,Fix Price,1,20000,CHG1021
,,,,,Product,Public Price,Fix Price,1,30000,CHG1022
,,,,,Product,Public Price,Fix Price,1,25000,CHG1023
,,,,,Product,Public Price,Fix Price,1,35000,CHG1024
,,,,,Product,Public Price,Fix Price,1,25000,CHG1025
,,,,,Product,Public Price,Fix Price,1,35000,CHG1026
,,,,,Product,Public Price,Fix Price,1,40000,CHG1027
,,,,,Product,Public Price,Fix Price,1,45000,CHG1028
,,,,,Product,Public Price,Fix Price,1,30000,CHG1029
,,,,,Product,Public Price,Fix Price,1,30000,CHG1030
,,,,,Product,Public Price,Fix Price,1,30000,CHG1031
,,,,,Product,Public Price,Fix Price,1,30000,CHG1032
,,,,,Product,Public Price,Fix Price,1,30000,CHG1033
,,,,,Product,Public Price,Fix Price,1,20000,CHG1034
,,,,,Product,Public Price,Fix Price,1,30000,CHG1035
