id,uuid,name,categ_id/id,type,lst_price
LAB1001,b2cdf526-2c27-40ec-b363-8a8176d97def,Acide Urique,product.categ_services_lab_test_orders,service,250
LAB1002,ccbba877-1de6-4f01-8191-c86a2a139b5f,Albumine dans le sang,product.categ_services_lab_test_orders,service,250
LAB1003,a9caf4e2-9d08-4f17-a37d-075aaeec33e0,ALT (SGPT),product.categ_services_lab_test_orders,service,250
LAB1004,d9cec232-89c8-4f05-85f8-18b2dcdd04b3,Amylase,product.categ_services_lab_test_orders,service,400
LAB1005,4e4a3c4d-73bb-42e9-a4c9-a3173938e535,ASO (Antistreptolysine O),product.categ_services_lab_test_orders,service,250
LAB1006,633a672a-134f-485f-8ea3-30dd087fcac6,AST (SGOT),product.categ_services_lab_test_orders,service,250
LAB1007,7e9fb4ad-866e-4ad5-ae5c-1ff95e088492,Azote de l'Urée (BUN),product.categ_services_lab_test_orders,service,250
LAB1008,afa4d5ed-0f81-4c16-8061-7647f46660e9,BHCG,product.categ_services_lab_test_orders,service,200
LAB1009,4268c1ab-a6b9-49e0-a0eb-05793c10617a,Phosphatase Alcaline (ALKP),product.categ_services_lab_test_orders,service,300
LAB1010,b3955cad-ae3d-4916-9a4b-a97137008dcf,Lactic Acid Dehydrogenase,product.categ_services_lab_test_orders,service,350
LAB1011,896a4080-a67a-42ea-9c16-d76dd546f9b7,Bilan Hépatique (AST-ALT-TBil-ALKP-LDH),product.categ_services_lab_test_orders,service,1250
LAB1012,6ff9b4ea-4e1c-4f6b-b678-4c5912b71770,Cholesterol,product.categ_services_lab_test_orders,service,250
LAB1013,da08820c-59b9-4b34-ba88-b4efcef2c388,Triglyceride,product.categ_services_lab_test_orders,service,250
LAB1014,f2267a24-7d35-47ef-a221-71d39b948874,Very low-density lipoprotein cholesterol,product.categ_services_lab_test_orders,service,400
LAB1015,0a673d0d-1baa-4cdd-ab95-a2ca26bc6efe,Low-density lipoprotein cholesterol,product.categ_services_lab_test_orders,service,0
LAB1016,3712cc03-57a8-4ea3-bd24-98f883a944ae,High-density lipoprotein cholesterol,product.categ_services_lab_test_orders,service,0
LAB1017,6b5afe48-603e-433b-935b-bae7480c9562,Bilan Lipidique (Chol-Trig-HDLC-LDL-VLDL),product.categ_services_lab_test_orders,service,1000
LAB1018,4c002480-8dd3-4a95-a37c-73acda95d696,Creatinine (CRSC),product.categ_services_lab_test_orders,service,250
LAB1019,ca06f436-5bab-4e3d-95fb-8d142ca722e2,Urée,product.categ_services_lab_test_orders,service,250
LAB1020,8bf2d98d-4245-485f-84eb-be58a2e04915,Bilan Renal (BUN-Creat-Urée-Acide Urique),product.categ_services_lab_test_orders,service,800
LAB1021,6128dc03-bad8-44ef-9f4c-8bdd3a94ebd9,T3,product.categ_services_lab_test_orders,service,450
LAB1022,d364f4e0-bcbe-4fee-8942-780748181187,T4,product.categ_services_lab_test_orders,service,450
LAB1023,481f279f-c02a-40a9-bab5-6f008f7795ad,TSH,product.categ_services_lab_test_orders,service,500
LAB1024,061e56ba-de5c-4561-9a76-7b157b891cb6,Bilan Thyroïdien,product.categ_services_lab_test_orders,service,1500
LAB1025,20e3a85e-c705-4e99-884f-7b3bab4fe761,Calcium (Ca),product.categ_services_lab_test_orders,service,250
LAB1026,577bb811-8ad7-4b01-a3a7-dc8b88a84755,Glycémie,product.categ_services_lab_test_orders,service,0
LAB1027,62cb0655-e3da-41c3-a7f2-8574dec3ea41,Chimie Sanguine (Glycemie-BUN-Urée-Créatine),product.categ_services_lab_test_orders,service,750
LAB1028,aa89391a-3aa9-4780-afdc-280e84020261,Chlore (Cl),product.categ_services_lab_test_orders,service,250
LAB1029,173afc1a-9172-4d97-9d4b-9955656a671a,Potassium (K),product.categ_services_lab_test_orders,service,250
LAB1030,1ec0206a-34a9-4c48-a8d1-73e20cca527a,Sodium (Na),product.categ_services_lab_test_orders,service,200
LAB1031,da6d4fef-b416-4def-9328-88e0ad404bbe,CO₂,product.categ_services_lab_test_orders,service,300
LAB1032,16f83b5f-ac14-43ef-93fa-14d15884f78e,"Ionogramme (Na, K, Cl, CO₂)",product.categ_services_lab_test_orders,service,1000
LAB1033,9afafe44-e017-47de-9445-4f4b0e448df9,Crachat,product.categ_services_lab_test_orders,service,0
LAB1034,14fcec2c-3270-4b6f-974d-b237a62ee29a,Créatinine Kinase (CK),product.categ_services_lab_test_orders,service,350
LAB1035,665d4e20-2fd5-4c73-9c77-dded5164b8c8,Créatinine Kinase MB,product.categ_services_lab_test_orders,service,350
LAB1036,5384cbbf-717b-4d18-b300-f34606a5b73c,CRP,product.categ_services_lab_test_orders,service,250
LAB1037,97685dc5-db61-471d-a11e-4e5ec8d470f4,ECBC des Liquides (TP-ALB-LDH-GLU-WBC-RBC-Diff…),product.categ_services_lab_test_orders,service,1000
LAB1038,f4ca3fa3-f2c1-47f2-9344-a6e2f82fc8b3,Fer (Fe),product.categ_services_lab_test_orders,service,250
